grid,segment,order,angle_deg,cross_mm,truth_mm,measured_mm,error_mm,error_rel,n_points,resolved
control,49,3,35.0000,0.7990,1.9753,2.4225,0.4472,0.2264,2,1
control,51,3,35.0000,0.7990,1.9753,2.1860,0.2107,0.1067,2,1
control,52,2,0.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,53,1,35.0000,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,54,1,35.0000,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,55,2,70.0000,0.7990,1.3169,1.5290,0.2121,0.1611,6,0
control,57,1,73.7299,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,58,7,0.0000,0.7990,10.0000,9.5440,-0.4560,-0.0456,5,1
control,59,6,35.0000,0.7990,6.6667,6.6910,0.0243,0.0037,3,1
control,62,1,8.4126,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,63,1,63.2400,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,67,3,35.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,68,2,47.8549,0.7990,1.3169,1.5290,0.2121,0.1611,4,0
control,71,2,47.8549,0.7990,1.3169,1.5290,0.2121,0.1611,4,0
control,72,1,28.5202,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,73,1,77.2517,0.7990,0.8779,1.1990,0.3211,0.3657,3,0
control,74,3,73.7299,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,76,3,73.7299,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,77,2,77.7597,0.7990,1.3169,1.5290,0.2121,0.1611,6,0
control,79,1,59.8239,0.7990,0.8779,1.1990,0.3211,0.3657,5,0
control,80,2,47.8549,0.7990,1.3169,1.5290,0.2121,0.1611,4,0
control,83,6,35.0000,0.7990,6.6667,6.6400,-0.0267,-0.0040,3,1
control,84,5,0.0000,0.7990,4.4444,4.4740,0.0296,0.0067,3,1
control,88,2,0.0000,0.7990,1.3169,1.5290,0.2121,0.1611,7,0
control,89,1,35.0000,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,90,1,35.0000,0.7990,0.8779,1.1990,0.3211,0.3657,6,0
control,91,2,70.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,6,0
control,93,1,73.7299,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,94,5,0.0000,0.7990,4.4444,3.9730,-0.4714,-0.1061,5,1
control,95,4,35.0000,0.7990,2.9630,2.9875,0.0245,0.0083,2,1
control,98,1,77.2517,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,99,4,35.0000,0.7990,2.9630,3.1080,0.1450,0.0490,2,1
control,100,3,0.0000,0.7990,1.9753,1.9980,0.0227,0.0115,2,1
control,101,1,35.0000,0.7990,0.8779,1.9980,1.1201,1.2758,1,0
control,102,3,0.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,103,2,35.0000,0.7990,1.3169,1.1990,-0.1179,-0.0895,5,0
control,104,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,105,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,106,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,5,0
control,107,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,108,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,109,3,70.0000,0.7990,1.9753,2.1860,0.2107,0.1067,1,1
control,111,3,70.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,112,2,75.0000,0.7990,1.3169,1.5290,0.2121,0.1611,2,0
control,114,1,77.7597,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,115,2,35.0000,0.7990,1.3169,1.5290,0.2121,0.1611,1,0
control,116,1,47.8549,0.7990,0.8779,1.1990,0.3211,0.3657,1,0
control,118,4,35.0000,0.7990,2.9630,2.9260,-0.0370,-0.0125,2,1
control,120,1,77.2517,0.7990,0.8779,1.1990,0.3211,0.3657,4,0
control,121,1,28.5202,0.7990,0.8779,1.1990,0.3211,0.3657,2,0
control,122,4,35.0000,0.7990,2.9630,3.1080,0.1450,0.0490,2,1
control,123,3,70.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
control,125,3,70.0000,0.7990,1.9753,1.9980,0.0227,0.0115,1,1
