ratio,spacing_mm,imposed,truth,held_rd,held_rl,side_branches,recovered,sd,se,mean_low,mean_high,n_repeats,fit_ci_low,fit_ci_high,r2,bias,bias_low,bias_high,order_min,order_max,n_orders,orders_expected,reliable,dropped_for
R_b,1.19/0.80/1.31,3.079896498117632,3.079896498117632,1.56,1.49,4,2.8916633333333333,0.21599827183748857,0.03943570862250845,2.8110082531000717,2.9723184135665965,30,2.2704766666666667,3.7936399999999995,0.98143,-0.06111671768818925,-0.08730431207084374,-0.03492912330553476,1,5,5,5,True,
R_b,1.19/0.80/1.31,3.277004806094654,3.277004806094654,1.56,1.49,5,2.918386666666666,0.14552053234280493,0.026568292714771454,2.8640484068655576,2.9727249264677753,30,2.2567133333333333,3.8740433333333324,0.9760966666666667,-0.10943473099612819,-0.12601641549657486,-0.09285304649568152,1,5,5,5,True,
R_b,1.19/0.80/1.31,3.4601612268689763,3.4601612268689763,1.56,1.49,6,3.0372966666666668,0.15677519042671686,0.028623102751293598,2.978755848469911,3.0958374848634223,30,2.52252,3.7153466666666666,0.98794,-0.12220949616990841,-0.1391280194289324,-0.1052909729108844,1,5,5,5,True,
R_d,0.80,1.3,1.2995904244553103,1.3,1.49,0,1.2692700000000001,0.04365017627557636,0.01380339772986669,1.2422044506415928,1.2967855866065794,10,1.2012,1.3434399999999997,0.9874199999999999,-0.02315760817015706,-0.04415696879097074,-0.0021582475493433853,1,5,5,5,True,
R_d,0.80,1.45,1.4495431657386153,1.45,1.49,0,1.41292,0.03571849194278322,0.011295178912556762,1.4067932863916344,1.4191375891458775,10,1.3598299999999999,1.4686400000000002,0.9954500000000002,-0.02523396945631571,-0.029491967095162608,-0.02097597181746881,1,5,5,5,True,
R_d,0.80,1.56,1.5595085093463723,1.56,1.49,0,1.5240999999999998,0.09945023322692054,0.031448925083202586,1.4490764815946242,1.600936262125891,10,1.4200699999999997,1.63962,0.9933500000000001,-0.022123725057823184,-0.07081207129676574,0.02656462118111937,1,5,5,5,True,
R_d,0.80,1.7,1.6994644012107902,1.7,1.49,0,1.63887,0.0824569928306064,0.02607519063528908,1.575129931636415,1.7044024255500556,10,1.50634,1.7913800000000002,0.9933400000000001,-0.03512766879672371,-0.07316097323709322,0.002905635643645814,1,5,5,5,True,
R_d,0.80,1.85,1.8494171424940955,1.85,1.49,0,1.7642599999999997,0.09762975639288123,0.03087323976088893,1.7126414550517681,1.8146340433822352,10,1.6504199999999998,1.89319,0.99488,-0.04638185258811491,-0.07395610449348045,-0.01880760068274937,1,5,5,5,True,
R_l,0.80,1.05,1.0428543647320496,1.56,1.05,0,1.1688100000000001,0.2723004935320129,0.08610897675491086,0.9730364224630564,1.3656120055076602,10,0.87165,2.0259400000000003,0.53346,0.1212727812534052,-0.06694889011365669,0.3094944526204671,1,5,5,5,False,
R_l,0.80,1.15,1.142173828039864,1.56,1.15,0,1.2805199999999999,0.29859866338913466,0.09442518825915983,1.073796094422984,1.4839308007466028,10,0.9700200000000001,2.01343,0.8182500000000001,0.11967497082253127,-0.05986631100996771,0.29921625265503027,1,5,5,5,False,
R_l,0.80,1.3,1.2911530230015853,1.56,1.3,0,1.4088699999999998,0.3186487514141202,0.10076558280374195,1.1793051510250485,1.6398756795008824,10,1.02727,2.2064500000000002,0.81103,0.09172994226977442,-0.08662634868523976,0.2700862332247886,1,5,5,5,False,
R_l,0.80,1.49,1.4798600032864322,1.56,1.49,0,1.7356200000000002,0.36301101850433626,0.11479416342112327,1.4747588538836784,1.9978035026593794,10,1.29076,2.57735,0.9504300000000001,0.1732739410590487,-0.0034470486339418793,0.34999493075203925,1,5,5,5,True,
R_l,0.80,1.65,1.638771144578935,1.56,1.65,0,1.62527,0.17381965781937453,0.054966602082032,1.5184323491448048,1.7281536144022995,10,1.1573900000000001,2.32198,0.93834,-0.009444981293809463,-0.07343233729261815,0.05454237470499922,1,4,4,5,True,
R_l,0.80,1.8,1.7877503395406567,1.56,1.8,0,1.74545,0.36874875291691195,0.11660859435641001,1.4734726455474723,2.021043789760381,10,1.22349,41.047090000000004,0.9700999999999999,-0.02264976321980966,-0.17579506883155438,0.13049554239193506,1,4,4,5,True,
R_b,0.80,2.0000000000000004,2.0000000000000004,1.56,1.49,0,2.16803,0.24565444587423566,0.07768275663091377,1.9922993956614687,2.3437606043385313,10,1.9317999999999997,2.4601800000000003,0.99649,0.08401499999999976,-0.003850302169265893,0.17188030216926542,1,5,5,5,True,
R_b,0.80,2.3458202157571426,2.3458202157571426,1.56,1.49,1,2.2768699999999997,0.2265508235841721,0.0716416608312975,2.114805303795721,2.43893469620428,10,1.8681,2.82441,0.97532,-0.02939279629956103,-0.098479376385994,0.03969378378687194,1,5,5,5,True,
R_b,0.80,2.624215727565684,2.624215727565684,1.56,1.49,2,2.65538,0.2682134216543898,0.08481653114549988,2.4635116765455103,2.8472483234544894,10,1.96143,3.744210000000001,0.9751999999999998,0.011875651878370908,-0.061238887234796216,0.08499019099153803,1,5,5,5,True,
R_b,0.80,2.864613056218954,2.864613056218954,1.56,1.49,3,2.71551,0.3284626765538041,0.10386901842652069,2.4805419559736275,2.9504780440263723,10,1.8988800000000001,4.846400000000001,0.97829,-0.052049981373664886,-0.13407433838630461,0.029974375638974857,1,5,5,5,True,
R_b,0.80,3.0798964981176313,3.0798964981176313,1.56,1.49,4,2.9444299999999997,0.3291770076012802,0.10409490973786051,2.7089509543256662,3.1799090456743335,10,1.9282400000000002,4.57825,0.95688,-0.04398410732322524,-0.12044091222503076,0.03247269757858027,1,5,5,5,True,
R_b,0.80,3.2770048060946544,3.2770048060946544,1.56,1.49,5,2.9338,0.3515320089740525,0.11116418188127565,2.68232914971067,3.18527085028933,10,2.1624899999999996,4.0942099999999995,0.97022,-0.10473124893083881,-0.1814692658607006,-0.027993232000977003,1,5,5,5,True,
